i,id,rot,t,x,z
897,0xa1,-0.1606646329164505,0.0,4755.7314453125,756.3135986328125
898,0xa1,-0.1606670469045639,0.0,4770.53564453125,756.2559814453125
899,0xa1,-0.16066358983516693,0.0,4785.48876953125,756.1799926757812
901,0xa1,-0.16066193580627441,0.0,4800.5908203125,755.9862060546875
916,0xa1,-0.9404865503311157,0.0,4805.7900390625,755.7098999023438
917,0xa1,-0.9404860138893127,0.0,4810.9384765625,755.4362182617188
918,0xa1,-0.9404861330986023,0.0,4816.18798828125,755.10595703125
919,0xa1,-0.9404863715171814,0.0,4821.28564453125,754.7686767578125
920,0xa1,-0.9404865503311157,0.0,4826.43408203125,754.4279174804688
922,0xa1,-0.940486490726471,0.0,4831.58251953125,754.0870971679688
923,0xa1,-0.9404868483543396,0.0,4836.68017578125,753.7493286132812
924,0xa1,-0.940487265586853,0.0,4841.77783203125,753.4119873046875
925,0xa1,-0.9404873847961426,0.0,4846.87548828125,753.07421875
926,0xa1,-0.9404882788658142,0.0,4851.9736328125,752.7369384765625
927,0xa1,-0.9404872059822083,0.0,4857.1728515625,752.3927001953125
928,0xa1,-0.94048672914505,0.0,4862.3720703125,752.0484619140625
929,0xa1,-0.9404861330986023,0.0,4867.4697265625,751.7111206054688
930,0xa1,-0.940487265586853,0.0,4872.5673828125,753.13623046875
931,0xa1,-0.9404887557029724,0.0,4877.66552734375,753.2192993164062
932,0xa1,-0.9404852986335754,0.0,4882.76318359375,753.3023071289062
957,0xa1,0.9063675403594971,0.0,4876.359375,753.2509155273438
958,0xa1,0.9063677787780762,0.0,4870.08642578125,753.2000122070312
959,0xa1,0.9063681960105896,0.0,4863.62451171875,751.6808471679688
960,0xa1,0.9063677191734314,0.0,4857.220703125,752.009033203125
961,0xa1,0.906367838382721,0.0,4847.6533203125,752.5003662109375
962,0xa1,0.9063675403594971,0.0,4841.31494140625,752.8255004882812
963,0xa1,0.906367838382721,0.0,4834.9765625,753.150634765625
964,0xa1,0.9063684344291687,0.0,4828.5146484375,753.482421875
965,0xa1,0.906367301940918,0.0,4822.11474609375,753.8111572265625
966,0xa1,0.9063680768013,0.0,4815.7109375,754.139404296875
967,0xa1,0.9063689708709717,0.0,4809.2490234375,754.47119140625
968,0xa1,0.9063681960105896,0.0,4802.91064453125,754.79638671875
969,0xa1,0.9063687920570374,0.0,4796.5107421875,755.1250610351562
970,0xa1,0.9063714742660522,0.0,4790.23779296875,755.4471435546875
971,0xa1,0.8361437320709229,0.0,4781.8447265625,755.7533569335938
972,0xa1,0.8361438512802124,0.0,4773.45166015625,756.0591430664062
973,0xa1,0.8361435532569885,0.0,4765.05859375,756.3654174804688
974,0xa1,0.8361432552337646,0.0,4756.66943359375,756.671142578125
975,0xa1,0.8361430168151855,0.0,4748.19482421875,756.9802856445312
976,0xa1,0.8361432552337646,0.0,4739.8837890625,757.283203125
977,0xa1,0.8361438512802124,0.0,4731.57275390625,757.5865478515625
978,0xa1,0.8361443281173706,0.0,4723.1796875,757.892333984375
979,0xa1,0.8361440300941467,0.0,4714.79052734375,758.1986083984375
980,0xa1,0.8361438512802124,0.0,4706.4794921875,758.4861450195312
981,0xa1,0.836144208908081,0.0,4698.08642578125,758.7708129882812
982,0xa1,0.8361440300941467,0.0,4689.86083984375,759.0498657226562
983,0xa1,0.836143970489502,0.0,4681.5498046875,759.3319702148438
984,0xa1,0.8361453413963318,0.0,4673.3203125,759.6110229492188
985,0xa1,0.8361455202102661,0.0,4665.0947265625,759.8900756835938
986,0xa1,0.8361456394195557,0.0,4656.70166015625,760.17431640625
987,0xa1,0.8361455202102661,0.0,4648.47607421875,760.453369140625
988,0xa1,0.8361461758613586,0.0,4640.0830078125,760.738037109375
989,0xa1,-0.4948289096355438,0.0,4653.24609375,760.486083984375
990,0xa1,-0.4948287308216095,0.0,4666.54443359375,760.231689453125
991,0xa1,-0.4948287904262543,0.0,4679.70751953125,759.9801635742188
992,0xa1,-0.49482864141464233,0.0,4693.13330078125,759.722900390625
993,0xa1,-0.49482861161231995,0.0,4706.6904296875,759.4637451171875
994,0xa1,-0.49482882022857666,0.0,4719.72607421875,759.214111328125
995,0xa1,-0.494828462600708,0.0,4733.0205078125,758.8925170898438
996,0xa1,-0.49482855200767517,0.0,4746.05615234375,758.434814453125
997,0xa1,-0.49482792615890503,0.0,4765.60546875,757.748779296875
998,0xa1,-0.4948236048221588,0.0,4778.64111328125,757.2916259765625
1001,0xa1,-0.26801392436027527,0.0,4764.04541015625,757.8038940429688
1002,0xa1,-0.2680131793022156,0.0,4749.44970703125,758.2626342773438
1003,0xa1,-0.26801246404647827,0.0,4734.70947265625,758.3511962890625
1004,0xa1,-0.26801246404647827,0.0,4720.25830078125,758.4381713867188
1005,0xa1,-0.2680133283138275,0.0,4705.80712890625,758.5250854492188
1006,0xa1,-0.26801422238349915,0.0,4691.35595703125,758.454345703125
1007,0xa1,-0.26801541447639465,0.0,4676.61572265625,758.3566284179688
1008,0xa1,-0.2680157423019409,0.0,4662.16455078125,758.2604370117188
1009,0xa1,-0.2680177390575409,0.0,4647.71337890625,758.1642456054688
1010,0xa1,-0.2680151164531708,0.0,4633.40673828125,758.0690307617188
1011,0xa1,-0.2680152952671051,0.0,4618.37744140625,757.9688110351562
1012,0xa1,-0.2680138051509857,0.0,4603.49267578125,757.86962890625
